,Timestamp (UTC),PM1.0 (ug/m3),PM2.5 (ug/m3),PM4.0 (ug/m3),PM10.0 (ug/m3),PM Sensor Status,Temperature (Celsius),Relative Humidity (%),Device Status
0,4/28/2023 0:00,7.25,7.5,7.5,7.5,0,30.625,74,0
1,4/28/2023 1:00,7.5,8.25,8.25,8.25,0,31.25,73.25,0
2,4/28/2023 2:00,9.25,10,10.25,10.25,0,33.375,68.25,0
3,4/28/2023 3:00,9.25,9.5,9.75,9.75,0,34.75,63.75,0
4,4/28/2023 4:00,7.25,7.75,7.75,7.75,0,34.075,62.75,0
5,4/28/2023 5:00,4.25,4.25,4.25,4.5,0,36.25,57,0
6,4/28/2023 6:00,5.75,6.5,6.5,6.5,0,37.625,55.5,2
7,4/28/2023 7:00,5.5,6,6,6,0,39.575,52.25,0
8,4/28/2023 8:00,5.75,6,6,6,0,40.875,49.25,0
9,4/28/2023 9:00,34.75,36.5,36.5,36.5,0,39.325,51.5,0
10,4/28/2023 10:00,14.75,15.75,15.75,15.75,0,38.975,52.5,0
11,4/28/2023 11:00,11.25,12,12,12,0,36.6,57.75,0.25
12,4/28/2023 12:00,16.75,18,18,18,0,34.9,62.5,0
13,4/28/2023 13:00,10.5,10.75,11,11,0,34.175,64.75,0
14,4/28/2023 14:00,9,9.5,9.5,9.75,0,33.725,66.75,0
15,4/28/2023 15:00,9.5,10,10,10.5,0,33.525,68,0
16,4/28/2023 16:00,9.25,10,10.25,10.25,0,33.2,68.75,0
17,4/28/2023 17:00,12.75,13.75,13.75,13.75,0,32.175,72.25,0
18,4/28/2023 18:00,17.5,18.5,18.5,18.5,0,31.9,73.5,0
19,4/28/2023 19:00,13,13.5,13.75,13.75,0,31.325,75.75,0
20,4/28/2023 20:00,9.25,10.25,10.25,10.25,0,30.975,75.75,0
21,4/28/2023 21:00,8.75,9.5,9.5,9.75,0,30.375,75.25,0
22,4/28/2023 22:00,10,10.75,10.75,10.75,0,30.35,77,0
23,4/28/2023 23:00,10.75,11.75,11.75,11.75,0,30.45,78,0
24,4/29/2023 0:00,12,13,13,13,0,30.1,78.33333333,0
25,4/29/2023 1:00,11,11.66666667,11.66666667,11.66666667,0,30.7,78,0.333333333
26,4/29/2023 2:00,9.75,10.25,10.25,10.75,0,31.875,75.5,2.25
27,4/29/2023 3:00,5.75,6.5,6.75,6.75,0,32.975,71.25,0
28,4/29/2023 4:00,6,6.5,6.5,6.5,0,34.05,67.25,0
29,4/29/2023 5:00,6.25,6.75,6.75,6.75,0,35.575,63.75,0
30,4/29/2023 6:00,6,6,6.25,6.25,0,35.875,63,0
31,4/29/2023 7:00,6,6,6,6,0,35.15,65,0
32,4/29/2023 8:00,4.5,4.5,4.75,4.75,0,36.825,60.5,0.25
33,4/29/2023 9:00,5.5,5.5,5.5,5.5,0,35.9,60.75,0
34,4/29/2023 10:00,6,6.666666667,7,7,0,36.1,59.33333333,0.333333333
35,4/29/2023 11:00,7.666666667,7.666666667,7.666666667,7.666666667,0,34.13333333,65,0.666666667
36,4/29/2023 12:00,,,,,,,,
37,4/29/2023 13:00,7.75,8.25,8.25,8.25,0,31.05,72.5,0.25
38,4/29/2023 14:00,6.75,6.75,7.25,7.25,0,30.65,72.75,0
39,4/29/2023 15:00,3.75,4.25,4.25,4.25,0,30.4,72.25,0
40,4/29/2023 16:00,2.75,3.25,3.25,3.25,0,30.05,72.75,0
41,4/29/2023 17:00,2,2.5,2.75,2.75,0,29.875,74,0
42,4/29/2023 18:00,2.25,2.75,2.75,2.75,0,29.725,74,0
43,4/29/2023 19:00,2,2,2.25,2.5,0,29.625,74.25,0
44,4/29/2023 20:00,2,2.25,2.25,2.25,0,29.2,76,0
45,4/29/2023 21:00,3,3,3,3,0,28.8,77.5,0
46,4/29/2023 22:00,3,3,3,3,0,28.725,78,0
47,4/29/2023 23:00,3,3.5,3.5,3.5,0,28.725,78,0
48,4/30/2023 0:00,2.75,2.75,2.75,2.75,0,29.25,76.5,0
49,4/30/2023 1:00,4.333333333,4.333333333,4.333333333,4.333333333,0,30.7,73,0.333333333
50,4/30/2023 2:00,3.5,3.5,3.5,3.5,0,32.425,70,0
51,4/30/2023 3:00,2.75,3,3,3,0,33.55,67.75,0
52,4/30/2023 4:00,2.75,3,3,3,0,34.45,66.5,0
53,4/30/2023 5:00,2.5,3,3,3,0,36.025,63,0.25
54,4/30/2023 6:00,2.25,2.25,2.25,2.25,0,37.725,59,0
55,4/30/2023 7:00,2.25,2.25,2.25,2.25,0,39.45,55,0
56,4/30/2023 8:00,2,2.25,2.25,2.25,0,39.4,54.5,0
57,4/30/2023 9:00,2,2,2,2,0,41.425,50.5,0
58,4/30/2023 10:00,2,2,2,2,0,41.025,49.5,0
59,4/30/2023 11:00,3,3.75,3.75,3.75,0,36.125,59.75,0
60,4/30/2023 12:00,7.5,8,8,8,0,34.675,63.5,0
61,4/30/2023 13:00,5.25,5.75,5.75,5.75,0,34.225,65,0
62,4/30/2023 14:00,4,4,4,4,0,33.775,65.5,0
63,4/30/2023 15:00,4,4.25,4.25,4.25,0,32.4,69.5,0
64,4/30/2023 16:00,3,3.25,3.25,3.25,0,31.35,71.5,0
65,4/30/2023 17:00,2.666666667,3,3,3,0,31.76666667,70.66666667,0
66,4/30/2023 18:00,2,2,2,2,0,30.975,72.5,0.25
67,4/30/2023 19:00,2,2,2,2,0,30.425,74.25,0
68,4/30/2023 20:00,1.25,1.5,1.5,1.5,0,30,75.25,0
69,4/30/2023 21:00,1.5,1.5,1.5,1.5,0,29.75,75.5,0
70,4/30/2023 22:00,1.5,1.5,1.5,1.5,0,29.6,76,0
71,4/30/2023 23:00,2.25,2.5,2.5,2.5,0,29.325,75.25,0
72,5/1/2023 0:00,2.25,2.5,2.5,2.5,0,29.15,74.75,0
73,5/1/2023 1:00,2.5,2.75,2.75,2.75,0,30.95,67.25,0.25
74,5/1/2023 2:00,2.25,2.25,2.25,2.25,0,32.6,62.75,0
75,5/1/2023 3:00,1.75,1.75,1.75,1.75,0,34.475,59,2
76,5/1/2023 4:00,2,2,2,2,0,36.025,59,0
77,5/1/2023 5:00,1.75,1.75,1.75,1.75,0,37.5,56.75,0
78,5/1/2023 6:00,1.25,1.25,1.25,1.25,0,38.125,56.75,0
79,5/1/2023 7:00,1,1,1,1,0,37.7,57.75,0.25
80,5/1/2023 8:00,1,1,1,1,0,38.825,54.5,0
81,5/1/2023 9:00,1.25,1.25,1.25,1.25,0,37.1,57.25,0
82,5/1/2023 10:00,,,,,,,,
83,5/1/2023 11:00,1.5,2.75,3.5,4,0,30.275,76.5,0
84,5/1/2023 12:00,1.75,1.75,1.75,1.75,0,29.15,77,0
85,5/1/2023 13:00,1,2,2,2,0,29.25,78.25,0
86,5/1/2023 14:00,1.5,2,2,2,0,29.325,77.5,0
87,5/1/2023 15:00,1,1,1,1.25,0,28.175,80,0
88,5/1/2023 16:00,0.75,0.75,0.75,0.75,0,27.675,80.25,0
89,5/1/2023 17:00,1,1,1,1,0,27.75,80,0
90,5/1/2023 18:00,1,,1,1,0,27.5,81,2
91,5/1/2023 19:00,1.25,1.25,1.25,1.25,0,27.575,81.25,0
92,5/1/2023 20:00,0.75,0.75,0.75,0.75,0,27.625,81,0
93,5/1/2023 21:00,1,1,1,1,0,27.7,81,0
94,5/1/2023 22:00,1,1,1,1,0,27.725,81,0
95,5/1/2023 23:00,1.25,1.5,1.5,1.5,0,28.15,80.5,0
96,5/2/2023 0:00,3,3,3,3,0,28.125,80.5,0
97,5/2/2023 1:00,2,2,2,2,0,28.8,79.25,0
98,5/2/2023 2:00,1.666666667,1.666666667,1.666666667,1.666666667,0,30.23333333,75,0.333333333
99,5/2/2023 3:00,1,1.333333333,1.333333333,1.333333333,0,31.36666667,72.33333333,0.333333333
100,5/2/2023 4:00,1,1,1,1,0,33.225,66.25,0
101,5/2/2023 5:00,1.25,1.25,1.25,1.25,0,34.4,62.75,0.25
102,5/2/2023 6:00,1,1.25,1.25,1.25,0,33.475,63.5,0
103,5/2/2023 7:00,1.5,1.5,1.5,1.5,0,30.825,71.5,0
104,5/2/2023 8:00,1,1,1,1,0,28.15,79.25,0
105,5/2/2023 9:00,2.25,2.25,2.25,2.25,0,28.8,78.75,0
106,5/2/2023 10:00,1.75,2,2,2,0,29.525,77.5,0
107,5/2/2023 11:00,1.25,1.75,2,2,0,29.775,77.75,0.25
108,5/2/2023 12:00,2,2,2,2,0,29.63333333,78.33333333,0.333333333
109,5/2/2023 13:00,2.75,2.75,2.75,3,0,29.25,80.5,0
110,5/2/2023 14:00,2.75,2.75,2.75,2.75,0,28.775,80.5,0
111,5/2/2023 15:00,2,2,2,2,4,28.625,81,4
112,5/2/2023 16:00,1.5,1.75,1.75,1.75,0,28.5,80.75,0
113,5/2/2023 17:00,1,1,1,1,0,28.35,80.25,0
114,5/2/2023 18:00,1,1,1,1,0,28.25,80.25,0
115,5/2/2023 19:00,1,2,2,2,0,28.325,80,0
116,5/2/2023 20:00,1.25,1.75,1.75,1.75,0,28.25,80,2
117,5/2/2023 21:00,1.75,1.75,1.75,1.75,0,28.25,80,0
118,5/2/2023 22:00,2,2,2,2,0,27.95,80.75,0
119,5/2/2023 23:00,3,,3,3,0,27.8,81.5,0
120,5/3/2023 0:00,3,3.25,3.25,3.25,0,28.15,80.75,0
121,5/3/2023 1:00,4.5,4.75,4.75,4.75,0,28.725,79.25,0
122,5/3/2023 2:00,5.25,5.75,5.75,5.75,0,30.25,76.5,0
123,5/3/2023 3:00,3.25,3.25,3.25,3.25,0,30.775,75.25,0
124,5/3/2023 4:00,5.25,5.25,5.25,5.25,0,31.975,71.5,0
