Unnamed: 0,Timestamp (UTC),PM2.5 (ug/m3),Temperature (Celsius),Relative Humidity (%)
0,4/28/2023 0:00,7.5,30.625,74.0
1,4/28/2023 1:00,8.25,31.25,73.25
2,4/28/2023 2:00,10.0,33.375,68.25
3,4/28/2023 3:00,9.5,34.75,63.75
4,4/28/2023 4:00,7.75,34.075,62.75
5,4/28/2023 5:00,4.25,36.25,57.0
6,4/28/2023 6:00,6.5,37.625,55.5
7,4/28/2023 7:00,6.0,39.575,52.25
8,4/28/2023 8:00,6.0,40.875,49.25
9,4/28/2023 9:00,36.5,39.325,51.5
10,4/28/2023 10:00,15.75,38.975,52.5
11,4/28/2023 11:00,12.0,36.6,57.75
12,4/28/2023 12:00,18.0,34.9,62.5
13,4/28/2023 13:00,10.75,34.175,64.75
14,4/28/2023 14:00,9.5,33.725,66.75
15,4/28/2023 15:00,10.0,33.525,68.0
16,4/28/2023 16:00,10.0,33.2,68.75
17,4/28/2023 17:00,13.75,32.175,72.25
18,4/28/2023 18:00,18.5,31.9,73.5
19,4/28/2023 19:00,13.5,31.325,75.75
20,4/28/2023 20:00,10.25,30.975,75.75
21,4/28/2023 21:00,9.5,30.375,75.25
22,4/28/2023 22:00,10.75,30.35,77.0
23,4/28/2023 23:00,11.75,30.45,78.0
24,4/29/2023 0:00,13.0,30.1,78.33333333
25,4/29/2023 1:00,11.66666667,30.7,78.0
26,4/29/2023 2:00,10.25,31.875,75.5
27,4/29/2023 3:00,6.5,32.975,71.25
28,4/29/2023 4:00,6.5,34.05,67.25
29,4/29/2023 5:00,6.75,35.575,63.75
30,4/29/2023 6:00,6.0,35.875,63.0
31,4/29/2023 7:00,6.0,35.15,65.0
32,4/29/2023 8:00,4.5,36.825,60.5
33,4/29/2023 9:00,5.5,35.9,60.75
34,4/29/2023 10:00,6.666666667,36.1,59.33333333
35,4/29/2023 11:00,7.666666667,34.13333333,65.0
36,4/29/2023 12:00,,,
37,4/29/2023 13:00,8.25,31.05,72.5
38,4/29/2023 14:00,6.75,30.65,72.75
39,4/29/2023 15:00,4.25,30.4,72.25
40,4/29/2023 16:00,3.25,30.05,72.75
41,4/29/2023 17:00,2.5,29.875,74.0
42,4/29/2023 18:00,2.75,29.725,74.0
43,4/29/2023 19:00,2.0,29.625,74.25
44,4/29/2023 20:00,2.25,29.2,76.0
45,4/29/2023 21:00,3.0,28.8,77.5
46,4/29/2023 22:00,3.0,28.725,78.0
