timestamp_index,index,pm25,Temperature (Celsius)
2023-04-27 00:00:00,0,24.25,33.9
2023-04-27 01:00:00,1,24.25,33.75
2023-04-27 02:00:00,2,24.25,33.62
2023-04-27 03:00:00,3,24.25,33.48
2023-04-27 04:00:00,4,24.25,33.4
2023-04-27 05:00:00,5,24.25,33.4
2023-04-27 06:00:00,6,24.25,33.55
2023-04-27 07:00:00,7,24.25,34.2
2023-04-27 08:00:00,8,24.25,34.55
2023-04-27 09:00:00,9,24.25,35.3
2023-04-27 10:00:00,10,24.25,35.0
2023-04-27 11:00:00,11,24.25,35.6
2023-04-27 12:00:00,12,20.0,35.5
2023-04-27 13:00:00,13,17.5,35.83
2023-04-27 14:00:00,14,17.0,35.52
2023-04-27 15:00:00,15,15.5,35.28
2023-04-27 16:00:00,16,12.75,36.58
2023-04-27 17:00:00,17,15.25,36.8
2023-04-27 18:00:00,18,16.25,36.02
2023-04-27 19:00:00,19,18.75,35.75
2023-04-27 20:00:00,20,17.75,35.65
2023-04-27 21:00:00,21,16.0,35.3
2023-04-27 22:00:00,22,13.25,35.08
2023-04-27 23:00:00,23,12.0,34.83
2023-04-28 00:00:00,24,11.0,34.55
2023-04-28 01:00:00,25,11.0,34.33
2023-04-28 02:00:00,26,10.5,34.2
2023-04-28 03:00:00,27,9.75,34.08
2023-04-28 04:00:00,28,11.0,33.88
2023-04-28 05:00:00,29,16.75,33.7
2023-04-28 06:00:00,30,24.0,34.0
2023-04-28 07:00:00,31,10.75,34.47
2023-04-28 08:00:00,32,9.25,34.93
2023-04-28 09:00:00,33,10.0,35.25
2023-04-28 10:00:00,34,14.5,34.22
2023-04-28 11:00:00,35,10.0,36.1
2023-04-28 12:00:00,36,20.75,36.72
2023-04-28 13:00:00,37,16.875,35.55
2023-04-28 14:00:00,38,13.0,34.67
2023-04-28 15:00:00,39,16.75,34.45
2023-04-28 16:00:00,40,11.5,34.92
2023-04-28 17:00:00,41,12.33,34.57
