timestamp_index,PM1.0 (ug/m3),PM2.5 (ug/m3),PM4.0 (ug/m3),PM10.0 (ug/m3),PM Sensor Status,Temperature (Celsius),Relative Humidity (%),Device Status,hour,day,dayofweek,month
2023-04-27 11:00:00,22.5,24.25,24.75,25.0,0.0,35.6,62.0,0.0,11.0,27.0,3.0,4.0
2023-04-27 12:00:00,18.75,20.0,20.5,20.5,0.0,35.5,59.75,0.0,12.0,27.0,3.0,4.0
2023-04-27 13:00:00,16.25,17.5,17.75,18.25,0.0,35.83,59.25,0.0,13.0,27.0,3.0,4.0
2023-04-27 14:00:00,16.0,17.0,17.0,17.0,0.0,35.52,59.75,0.0,14.0,27.0,3.0,4.0
2023-04-27 15:00:00,14.5,15.5,15.5,15.5,0.0,35.28,61.25,0.0,15.0,27.0,3.0,4.0
2023-04-27 16:00:00,11.75,12.75,12.75,13.0,0.0,36.58,57.0,4.0,16.0,27.0,3.0,4.0
2023-04-27 17:00:00,14.25,15.25,15.5,15.5,0.0,36.8,56.5,4.0,17.0,27.0,3.0,4.0
2023-04-27 18:00:00,15.0,16.25,16.25,16.25,0.0,36.02,59.5,4.0,18.0,27.0,3.0,4.0
2023-04-27 19:00:00,17.75,18.75,19.25,19.25,0.0,35.75,61.0,4.0,19.0,27.0,3.0,4.0
2023-04-27 20:00:00,16.75,17.75,17.75,18.0,0.0,35.65,62.25,4.0,20.0,27.0,3.0,4.0
2023-04-27 21:00:00,15.0,16.0,16.25,16.25,0.0,35.3,63.75,4.0,21.0,27.0,3.0,4.0
2023-04-27 22:00:00,12.5,13.25,13.5,13.75,0.0,35.08,65.0,4.0,22.0,27.0,3.0,4.0
2023-04-27 23:00:00,11.25,12.0,12.25,12.25,0.0,34.83,65.0,4.0,23.0,27.0,3.0,4.0
2023-04-28 00:00:00,10.5,11.0,11.25,11.5,0.0,34.55,65.5,4.0,0.0,28.0,4.0,4.0
2023-04-28 01:00:00,10.0,11.0,11.0,11.0,0.0,34.33,66.0,4.0,1.0,28.0,4.0,4.0
2023-04-28 02:00:00,9.5,10.5,10.5,10.5,0.0,34.2,66.0,4.0,2.0,28.0,4.0,4.0
2023-04-28 03:00:00,9.0,9.75,10.0,10.0,0.0,34.08,66.25,4.0,3.0,28.0,4.0,4.0
2023-04-28 04:00:00,10.5,11.0,11.0,11.0,0.0,33.88,67.0,4.0,4.0,28.0,4.0,4.0
2023-04-28 05:00:00,15.75,16.75,16.75,16.75,0.0,33.7,68.0,4.0,5.0,28.0,4.0,4.0
2023-04-28 06:00:00,22.5,24.0,24.0,24.0,0.0,34.0,67.75,4.0,6.0,28.0,4.0,4.0
2023-04-28 07:00:00,10.0,10.75,11.0,11.0,0.0,34.47,66.75,1.25,7.0,28.0,4.0,4.0
2023-04-28 08:00:00,8.5,9.25,9.25,9.25,0.0,34.93,63.75,0.0,8.0,28.0,4.0,4.0
